Ano Censo;Categoria Administrativa;Sub Categoria Administrativa;Id Categoria Administrativa;Número de Matrículas;Número de Concluintes;Grau Acadêmico;Modalidade Ensino;Organização Acadêmica
2015;PÚBLICA;ESTADUAL;2;31483;4237;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2015;PÚBLICA;ESTADUAL;2;10013;1516;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2015;PÚBLICA;ESTADUAL;2;714;41;TECNOLÓGICO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2015;PÚBLICA;ESTADUAL;2;63439;9398;TECNOLÓGICO;PRESENCIAL;FACULDADES
2015;PÚBLICA;ESTADUAL;2;186;0;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
2015;PÚBLICA;ESTADUAL;2;2347;1;TECNOLÓGICO;CURSO A DISTÂNCIA;FACULDADES
2015;PÚBLICA;MUNICIPAL;3;19;0;-;PRESENCIAL;UNIVERSIDADES
2015;PÚBLICA;MUNICIPAL;3;66;38;-;PRESENCIAL;FACULDADES
2015;PÚBLICA;MUNICIPAL;3;40212;5645;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2015;PÚBLICA;MUNICIPAL;3;15510;2501;BACHARELADO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2015;PÚBLICA;MUNICIPAL;3;36293;4850;BACHARELADO;PRESENCIAL;FACULDADES
2015;PÚBLICA;MUNICIPAL;3;715;17;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2015;PÚBLICA;MUNICIPAL;3;4695;813;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2015;PÚBLICA;MUNICIPAL;3;1486;260;LICENCIATURA;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2015;PÚBLICA;MUNICIPAL;3;14710;3383;LICENCIATURA;PRESENCIAL;FACULDADES
2015;PÚBLICA;MUNICIPAL;3;1589;164;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2015;PÚBLICA;MUNICIPAL;3;1768;670;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2015;PÚBLICA;MUNICIPAL;3;278;45;TECNOLÓGICO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2015;PÚBLICA;MUNICIPAL;3;964;206;TECNOLÓGICO;PRESENCIAL;FACULDADES
2015;PÚBLICA;MUNICIPAL;3;638;125;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
2015;PRIVADA;PRIVADA;4;3938;1380;-;PRESENCIAL;UNIVERSIDADES
2015;PRIVADA;PRIVADA;4;759;349;-;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2015;PRIVADA;PRIVADA;4;1267;488;-;PRESENCIAL;FACULDADES
2015;PRIVADA;PRIVADA;4;28;19;-;CURSO A DISTÂNCIA;UNIVERSIDADES
2015;PRIVADA;PRIVADA;4;1451600;178094;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2015;PRIVADA;PRIVADA;4;810744;97777;BACHARELADO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2015;PRIVADA;PRIVADA;4;1651488;206322;BACHARELADO;PRESENCIAL;FACULDADES
2015;PRIVADA;PRIVADA;4;323009;47634;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2015;PRIVADA;PRIVADA;4;78345;8968;BACHARELADO;CURSO A DISTÂNCIA;CENTROS UNIVERSITÁRIOS
2015;PRIVADA;PRIVADA;4;5945;444;BACHARELADO;CURSO A DISTÂNCIA;FACULDADES
2015;PRIVADA;PRIVADA;4;123751;24173;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2015;PRIVADA;PRIVADA;4;71126;14135;LICENCIATURA;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2015;PRIVADA;PRIVADA;4;221018;46799;LICENCIATURA;PRESENCIAL;FACULDADES
2015;PRIVADA;PRIVADA;4;320221;45349;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2015;PRIVADA;PRIVADA;4;133003;25481;LICENCIATURA;CURSO A DISTÂNCIA;CENTROS UNIVERSITÁRIOS
2015;PRIVADA;PRIVADA;4;23814;2940;LICENCIATURA;CURSO A DISTÂNCIA;FACULDADES
2015;PRIVADA;PRIVADA;4;152814;38764;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2015;PRIVADA;PRIVADA;4;111245;30271;TECNOLÓGICO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2015;PRIVADA;PRIVADA;4;215852;55832;TECNOLÓGICO;PRESENCIAL;FACULDADES
2015;PRIVADA;PRIVADA;4;238420;56138;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
2015;PRIVADA;PRIVADA;4;134458;30041;TECNOLÓGICO;CURSO A DISTÂNCIA;CENTROS UNIVERSITÁRIOS
2015;PRIVADA;PRIVADA;4;8144;1009;TECNOLÓGICO;CURSO A DISTÂNCIA;FACULDADES
2014;PÚBLICA;FEDERAL;1;16963;85;-;PRESENCIAL;UNIVERSIDADES
2014;PÚBLICA;FEDERAL;1;198;0;-;PRESENCIAL;FACULDADES
2014;PÚBLICA;FEDERAL;1;259;0;-;PRESENCIAL;IFs e CEFETs
2014;PÚBLICA;FEDERAL;1;701226;78828;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2014;PÚBLICA;FEDERAL;1;1216;226;BACHARELADO;PRESENCIAL;FACULDADES
2014;PÚBLICA;FEDERAL;1;41342;2458;BACHARELADO;PRESENCIAL;IFs e CEFETs
